Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375,7.375,7.25,7.25,4.451576232910156,20800
1994-02-23,7.125,7.125,6.75,6.9375,4.259699821472168,31600
1994-02-24,6.9375,6.9375,6.8125,6.8125,4.182948589324951,32000
1994-02-25,6.6875,6.6875,6.25,6.4375,3.952693462371826,49800
1994-02-28,6.5,6.75,6.4375,6.625,4.067818641662598,170400
1994-03-01,6.625,6.625,6.5,6.5625,4.029444694519043,41600
1994-03-02,6.4375,6.5625,6.4375,6.5625,4.029444694519043,67000
1994-03-03,6.625,6.625,6.5,6.5,3.9910686016082764,27800
1994-03-04,6.5,6.75,6.4375,6.75,4.1445722579956055,358200
1994-03-07,6.4375,6.8125,6.4375,6.75,4.1445722579956055,690800
1994-03-08,6.75,6.8125,6.75,6.8125,4.182948589324951,515200
1994-03-09,6.8125,6.875,6.8125,6.875,4.2213215827941895,540400
1994-03-10,6.875,6.875,6.8125,6.875,4.2213215827941895,1832200
1994-03-11,6.9375,7.1875,6.9375,7.1875,4.413201332092285,1895400
1994-03-14,7.1875,7.625,7.1875,7.5625,4.643454551696777,1413800
1994-03-15,7.5625,7.6875,7.4375,7.4375,4.56670618057251,1665200
1994-03-16,7.4375,7.4375,7.3125,7.4375,4.56670618057251,717000
1994-03-17,7.4375,7.6875,7.4375,7.5625,4.659116744995117,971200
1994-03-18,7.625,7.6875,7.625,7.625,4.697620868682861,1178000
1994-03-21,7.625,7.6875,7.625,7.6875,4.736128330230713,659400
1994-03-22,7.6875,7.875,7.6875,7.8125,4.813136100769043,374000
1994-03-23,7.8125,7.9375,7.75,7.875,4.851643085479736,430200
1994-03-24,7.8125,7.875,7.75,7.75,4.774632453918457,747000
1994-03-25,7.8125,7.8125,7.625,7.6875,4.736128330230713,370000
1994-03-28,7.6875,7.6875,7.625,7.625,4.697620868682861,1116200
1994-03-29,7.625,7.6875,7.5,7.5,4.620611667633057,595800
1994-03-30,7.5,7.5,7.3125,7.375,4.543600082397461,653000
1994-03-31,7.375,7.4375,7.25,7.375,4.543600082397461,448400
1994-04-04,7.125,7.375,7.125,7.375,4.543600082397461,386600
1994-04-05,7.3125,7.6875,7.3125,7.625,4.697620868682861,361600
1994-04-06,7.625,7.6875,7.375,7.375,4.543600082397461,551400
1994-04-07,7.5,7.5,7.375,7.4375,4.582106590270996,338400
1994-04-08,7.3125,7.5,7.3125,7.5,4.620611667633057,166000
1994-04-11,7.5,7.625,7.25,7.25,4.466588973999023,424800
1994-04-12,7.125,7.25,7.125,7.125,4.389583587646484,602800
1994-04-13,7.125,7.3125,7.0,7.0,4.312568664550781,504600
1994-04-14,7.0625,7.0625,6.9375,6.9375,4.274064064025879,378200
1994-04-15,6.875,7.0625,6.875,6.875,4.235560894012451,197600
1994-04-18,7.0,7.25,7.0,7.25,4.466588973999023,184800
1994-04-19,7.1875,7.3125,7.1875,7.25,4.466588973999023,122200
1994-04-20,7.3125,7.3125,7.125,7.125,4.389583587646484,201400
1994-04-21,7.125,7.3125,6.875,6.875,4.235560894012451,858200
1994-04-22,7.0,7.25,7.0,7.25,4.466588973999023,411400
1994-04-25,7.1875,7.625,7.1875,7.625,4.697620868682861,330600
1994-04-26,7.5625,7.5625,7.25,7.375,4.543600082397461,313400
1994-04-28,7.3125,7.3125,7.125,7.3125,4.50509786605835,161600
1994-04-29,7.25,7.3125,7.1875,7.25,4.466588973999023,344600
1994-05-02,7.1875,7.3125,7.0625,7.1875,4.428086280822754,135800
1994-05-03,7.25,7.4375,7.125,7.1875,4.428086280822754,375200
1994-05-04,7.125,7.375,7.125,7.3125,4.50509786605835,491800
1994-05-05,7.3125,7.3125,7.1875,7.25,4.466588973999023,152800
1994-05-06,7.25,7.3125,7.25,7.25,4.466588973999023,272800
1994-05-09,7.25,7.3125,7.25,7.25,4.466588973999023,161600
1994-05-10,7.25,7.5,7.25,7.5,4.620611667633057,308200
1994-05-11,7.5,7.6875,7.5,7.5625,4.659116744995117,388600
1994-05-12,7.5,7.75,7.5,7.75,4.774632453918457,155000
1994-05-13,7.6875,7.75,7.375,7.375,4.543600082397461,105200
1994-05-16,7.375,7.5625,7.375,7.4375,4.582106590270996,206800
1994-05-17,7.5,7.5625,7.4375,7.5,4.620611667633057,422600
1994-05-18,7.5,7.5,7.4375,7.5,4.620611667633057,130800
1994-05-19,7.4375,7.625,7.375,7.5625,4.659116744995117,199400
1994-05-20,7.5,7.5625,7.375,7.375,4.543600082397461,119600
1994-05-23,7.3125,7.375,7.25,7.25,4.466588973999023,195600
1994-05-24,7.4375,7.5625,7.375,7.5625,4.659116744995117,158200
1994-05-25,7.5,7.75,7.5,7.6875,4.736128330230713,104800
1994-05-26,7.75,7.75,7.5625,7.75,4.774632453918457,345800
1994-05-27,7.6875,7.8125,7.625,7.8125,4.813136100769043,298000
1994-05-31,7.9375,8.25,7.875,8.0625,4.967157363891602,456400
1994-06-01,8.0625,8.0625,7.875,7.875,4.851643085479736,268200
1994-06-02,8.0,8.0625,7.8125,7.875,4.851643085479736,81000
1994-06-03,7.8125,7.9375,7.625,7.75,4.774632453918457,397400
1994-06-06,7.875,7.9375,7.8125,7.875,4.851643085479736,75600
1994-06-07,7.75,7.9375,7.75,7.9375,4.890148162841797,92800
1994-06-08,7.9375,7.9375,7.875,7.875,4.851643085479736,107600
1994-06-09,7.8125,7.90625,7.8125,7.875,4.86709451675415,187800
1994-06-10,7.875,7.875,7.6875,7.6875,4.751211166381836,280600
1994-06-13,7.75,7.875,7.5625,7.875,4.86709451675415,97600
1994-06-14,7.875,8.0625,7.8125,8.0625,4.982976913452148,339800
1994-06-15,8.0,8.1875,8.0,8.1875,5.060232162475586,305200
1994-06-16,8.125,8.5,8.0625,8.5,5.253370761871338,393800
1994-06-17,8.5,8.5,8.25,8.25,5.0988616943359375,407200
1994-06-20,8.125,8.25,8.0625,8.125,5.021601676940918,47800
1994-06-21,8.125,8.5,8.125,8.5,5.253370761871338,556200
1994-06-22,8.375,8.625,8.375,8.5,5.253370761871338,759200
1994-06-23,8.4375,8.5,8.4375,8.5,5.253370761871338,553200
1994-06-24,8.4375,8.5,8.375,8.375,5.176114559173584,1003800
1994-06-27,8.375,8.375,8.125,8.25,5.0988616943359375,295200
1994-06-28,8.1875,8.25,8.125,8.125,5.021601676940918,165800
1994-06-29,8.125,8.125,8.0,8.0,4.944350242614746,396200
1994-06-30,8.0,8.1875,8.0,8.1875,5.060232162475586,453200
1994-07-01,8.1875,8.25,8.0625,8.125,5.021601676940918,870200
1994-07-05,8.0625,8.25,8.0625,8.1875,5.060232162475586,685600
1994-07-06,8.1875,8.25,8.125,8.125,5.021601676940918,163800
1994-07-07,8.125,8.25,8.125,8.1875,5.060232162475586,290600
1994-07-08,8.125,8.3125,8.125,8.25,5.0988616943359375,165000
1994-07-11,8.1875,8.3125,8.1875,8.25,5.0988616943359375,86800
1994-07-12,8.25,8.25,8.0625,8.0625,4.982976913452148,390800
1994-07-13,8.0625,8.125,8.0,8.0625,4.982976913452148,287000
