Date,Open,High,Low,Close,Adj Close,Volume
1994-10-27,9.25,9.25,9.1875,9.25,2.502746343612671,333000
1994-10-28,9.25,9.3125,9.25,9.3125,2.5196566581726074,257200
1994-10-31,9.3125,9.3125,9.25,9.25,2.502746343612671,133400
1994-11-01,9.3125,9.3125,9.1875,9.1875,2.485835075378418,44200
1994-11-02,9.125,9.125,9.0625,9.0625,2.456024169921875,724600
1994-11-03,9.125,9.125,9.0,9.0625,2.456024169921875,117800
1994-11-04,9.0625,9.0625,9.0625,9.0625,2.456024169921875,6600
1994-11-07,9.0,9.0,8.9375,8.9375,2.4221489429473877,43000
1994-11-08,9.0,9.125,9.0,9.125,2.4729623794555664,40200
1994-11-09,9.1875,9.1875,9.125,9.1875,2.489900588989258,71800
1994-11-10,9.1875,9.1875,9.125,9.125,2.4729623794555664,55200
1994-11-11,9.125,9.125,9.0625,9.0625,2.456024169921875,10800
1994-11-14,9.125,9.1875,9.125,9.125,2.4729623794555664,22400
1994-11-15,9.1875,9.1875,9.125,9.1875,2.489900588989258,98400
1994-11-16,9.1875,9.1875,9.0625,9.0625,2.456024169921875,2400
1994-11-17,9.125,9.125,9.0625,9.0625,2.456024169921875,4800
1994-11-18,9.125,9.125,8.9375,9.0,2.4390869140625,264600
1994-11-21,9.0,9.0,8.9375,8.9375,2.4221489429473877,60200
1994-11-22,9.0,9.0,8.875,8.875,2.4052107334136963,132200
1994-11-23,9.0,9.25,9.0,9.25,2.506838798522949,22400
1994-11-25,9.3125,9.375,9.3125,9.375,2.540714740753174,6400
1994-11-28,9.375,9.375,9.25,9.25,2.506838798522949,6200
1994-11-29,9.1875,9.3125,9.1875,9.3125,2.523777484893799,13400
1994-11-30,9.25,9.3125,9.1875,9.25,2.506838798522949,89400
1994-12-01,9.25,9.25,9.125,9.1875,2.489900588989258,35200
1994-12-02,9.125,9.25,9.125,9.25,2.506838798522949,26400
1994-12-05,9.3125,9.5625,9.3125,9.4375,2.5576531887054443,32000
1994-12-06,9.4375,9.4375,9.25,9.25,2.506838798522949,88400
1994-12-07,9.1875,9.25,9.1875,9.25,2.506838798522949,7200
1994-12-08,9.1875,9.1875,9.125,9.1875,2.489900588989258,2600
1994-12-09,9.125,9.125,9.0625,9.0625,2.456024169921875,93200
1994-12-12,9.125,9.1875,9.125,9.1875,2.489900588989258,3800
1994-12-13,9.25,9.375,9.25,9.3125,2.523777484893799,20600
1994-12-14,9.3125,9.4375,9.3125,9.3125,2.523777484893799,28200
1994-12-15,9.375,9.4375,9.3125,9.3125,2.523777484893799,16600
1994-12-16,9.375,9.375,9.3125,9.375,2.540714740753174,3000
1994-12-19,9.3125,9.3125,9.25,9.25,2.506838798522949,16600
1994-12-20,9.3125,9.4375,9.3125,9.4375,2.5576531887054443,11400
1994-12-21,9.4375,9.5,9.4375,9.5,2.574592351913452,9600
1994-12-22,9.5,9.625,9.5,9.5625,2.591529130935669,12000
1994-12-23,9.5625,9.625,9.5,9.5,2.574592351913452,22800
1994-12-27,9.5625,9.5625,9.5625,9.5625,2.591529130935669,200
1994-12-28,9.5625,9.5625,9.5,9.5,2.574592351913452,800
1994-12-29,9.4375,9.4375,9.25,9.25,2.506838798522949,10800
1994-12-30,9.3125,9.3125,9.25,9.3125,2.523777484893799,15200
1995-01-03,9.3125,9.3125,9.1875,9.3125,2.523777484893799,49000
1995-01-04,9.25,9.3125,9.1875,9.1875,2.489900588989258,32000
1995-01-05,9.25,9.3125,9.25,9.25,2.506838798522949,35600
1995-01-06,9.1875,9.3125,9.1875,9.3125,2.523777484893799,57800
1995-01-09,9.25,9.25,9.1875,9.1875,2.489900588989258,25200
1995-01-10,9.1875,9.1875,9.0625,9.0625,2.456024169921875,25600
1995-01-11,9.0,9.0,8.8125,8.875,2.4052107334136963,38600
1995-01-12,8.8125,8.8125,8.625,8.75,2.3713343143463135,10200
1995-01-13,8.6875,8.75,8.6875,8.75,2.3713343143463135,81800
1995-01-16,8.875,9.0,8.875,9.0,2.4390869140625,11800
1995-01-17,8.875,8.9375,8.75,8.875,2.4052107334136963,19600
1995-01-18,8.8125,8.9375,8.8125,8.9375,2.4221489429473877,11200
1995-01-19,8.9375,9.0,8.875,8.9375,2.4221489429473877,21600
1995-01-20,8.9375,8.9375,8.625,8.6875,2.3543975353240967,41800
1995-01-23,8.5625,8.6875,8.5625,8.65625,2.3459267616271973,110600
1995-01-24,8.6875,8.8125,8.6875,8.75,2.3713343143463135,26800
1995-01-25,8.6875,9.0,8.6875,8.9375,2.4221489429473877,10200
1995-01-26,9.0,9.0,8.875,8.875,2.4052107334136963,10400
1995-01-27,8.875,8.875,8.875,8.875,2.4052107334136963,7800
1995-01-30,8.9375,8.9375,8.875,8.875,2.4052107334136963,9400
1995-01-31,8.9375,9.125,8.9375,9.0625,2.456024169921875,38600
1995-02-01,9.125,9.25,9.125,9.1875,2.489900588989258,9600
1995-02-02,9.125,9.1875,9.0625,9.1875,2.5354349613189697,6400
1995-02-03,9.25,9.5625,9.25,9.5625,2.6389217376708984,127200
1995-02-06,9.5625,9.625,9.5,9.5625,2.6389217376708984,105600
1995-02-07,9.5625,9.5625,9.5,9.5,2.621675491333008,83800
1995-02-08,9.4375,9.5,9.4375,9.5,2.621675491333008,159400
1995-02-09,9.625,9.6875,9.5625,9.625,2.6561696529388428,203200
1995-02-10,9.5625,9.5625,9.5,9.5,2.621675491333008,17000
1995-02-13,9.5,9.5,9.4375,9.5,2.621675491333008,59600
1995-02-14,9.5,9.625,9.5,9.5625,2.6389217376708984,20400
1995-02-15,9.5625,9.6875,9.5625,9.6875,2.67341947555542,90600
1995-02-16,9.6875,9.6875,9.5,9.5625,2.6389217376708984,31800
1995-02-17,9.5,9.5,9.5,9.5,2.621675491333008,9800
1995-02-21,9.625,9.625,9.5625,9.5625,2.6389217376708984,181600
1995-02-22,9.625,9.75,9.625,9.6875,2.67341947555542,151800
1995-02-23,9.8125,9.9375,9.8125,9.875,2.72516131401062,174400
1995-02-24,9.8125,9.8125,9.6875,9.6875,2.67341947555542,98600
1995-02-27,9.5625,9.6875,9.5625,9.6875,2.67341947555542,17600
1995-02-28,9.8125,9.8125,9.75,9.75,2.6906659603118896,16000
1995-03-01,9.75,9.75,9.625,9.75,2.6906659603118896,18600
1995-03-02,9.625,9.625,9.5625,9.5625,2.6389217376708984,53600
1995-03-03,9.625,9.625,9.5625,9.5625,2.6389217376708984,23400
1995-03-06,9.5625,9.5625,9.5,9.5,2.621675491333008,52000
1995-03-07,9.5625,9.5625,9.5,9.5,2.621675491333008,51400
1995-03-08,9.5,9.6875,9.5,9.6875,2.67341947555542,14600
1995-03-09,9.6875,9.6875,9.625,9.625,2.6561696529388428,1000
1995-03-10,9.6875,9.8125,9.6875,9.6875,2.67341947555542,19200
1995-03-13,9.75,9.75,9.75,9.75,2.6906659603118896,8200
1995-03-14,9.6875,9.75,9.6875,9.75,2.6906659603118896,12400
