Date,Open,High,Low,Close,Adj Close,Volume
2000-08-04,20.46875,25.1875,19.1875,23.0625,22.308195114135742,9184900
2000-08-07,23.125,24.75,22.5,23.875,23.094127655029297,1006600
2000-08-08,23.625,26.359375,23.625,25.0,24.18233299255371,483700
2000-08-09,25.125,25.625,25.0,25.375,24.54506492614746,487200
2000-08-10,24.9375,25.125,24.5,24.75,23.940509796142578,767000
2000-08-11,24.5,24.625,23.875,24.375,23.57777214050293,157200
2000-08-14,24.25,24.875,24.0,24.625,23.819595336914062,349900
2000-08-15,24.875,25.3125,24.625,25.1875,24.363698959350586,41200
2000-08-16,25.0625,26.25,24.6875,26.25,25.391447067260742,401500
2000-08-17,26.0,26.25,23.125,24.5,23.698678970336914,727900
2000-08-18,24.125,25.125,24.125,24.875,24.061412811279297,316200
2000-08-21,24.875,28.8125,24.875,28.75,27.80967903137207,381800
2000-08-22,28.75,32.125,28.0,31.9375,30.89292335510254,240200
2000-08-23,31.625,32.5,28.625,30.5,29.50244140625,481900
2000-08-24,30.5,37.625,30.5,37.625,36.39440155029297,158200
2000-08-25,36.1875,39.0,36.125,38.0,36.75714111328125,200000
2000-08-28,39.0,39.5625,37.5625,38.0,36.75714111328125,42400
2000-08-29,38.5,38.5,37.0,37.5625,36.333946228027344,136000
2000-08-30,37.375,38.25,36.5,38.125,36.8780517578125,271300
2000-08-31,38.25,51.375,38.125,50.25,48.60647964477539,503900
2000-09-01,49.4375,49.5,46.25,46.5625,45.039588928222656,377000
2000-09-05,46.5,46.5,43.375,44.5,43.0445442199707,398100
2000-09-06,44.0,44.25,37.5,37.75,36.51531982421875,245000
2000-09-07,38.40625,38.5,37.125,37.875,36.636234283447266,98100
2000-09-08,37.5,37.5,31.875,34.0,32.887969970703125,252300
2000-09-11,34.5625,34.5625,33.0,33.0625,31.981136322021484,18000
2000-09-12,33.5,36.25,33.5,34.0,32.887969970703125,171900
2000-09-13,34.96875,36.25,33.75,34.0,32.887969970703125,217100
2000-09-14,34.0,36.0,33.96875,35.0625,33.91571807861328,314600
2000-09-15,35.09375,35.09375,34.0,34.25,33.12977600097656,15400
2000-09-18,34.0,34.5,28.75,29.375,28.41423797607422,37900
2000-09-19,29.75,30.375,29.625,29.875,28.897876739501953,183300
2000-09-20,29.125,29.875,27.0,27.5,26.600566864013672,242100
2000-09-21,27.5,28.875,27.125,28.75,27.80967903137207,238700
2000-09-22,28.5,32.75,27.5,32.75,31.678848266601562,75300
2000-09-25,32.5625,34.625,31.5,33.0,31.920677185058594,67500
2000-09-26,33.0625,36.125,33.0625,36.0,34.82255554199219,113900
2000-09-27,35.875,39.5,35.25,38.9375,37.66398620605469,223800
2000-09-28,38.5,46.875,35.8125,45.125,43.64909362792969,221200
2000-09-29,44.5,44.875,43.625,44.375,42.923622131347656,76700
2000-10-02,46.4375,47.3125,45.75,46.0,44.4954948425293,206900
2000-10-03,46.25,46.75,39.875,41.625,40.263580322265625,111800
2000-10-04,40.0625,41.5625,37.8125,38.0,36.75714111328125,28300
2000-10-05,38.0,41.5,37.75,39.75,38.44989776611328,30800
2000-10-06,40.625,40.625,36.0,37.5,36.27349090576172,48600
2000-10-09,36.5,36.5,32.0,32.0,30.953384399414062,9400
2000-10-10,33.125,35.75,33.0625,34.0,32.887969970703125,22300
2000-10-11,33.875,33.875,31.5,31.625,30.59064483642578,26600
2000-10-12,32.875,33.125,29.125,30.375,29.381532669067383,47000
2000-10-13,29.25,30.125,28.25,28.875,27.930585861206055,109900
2000-10-16,29.625,35.75,29.0625,30.875,29.865175247192383,139600
2000-10-17,31.984375,32.0,30.375,31.375,30.348817825317383,160300
2000-10-18,31.0,32.0,30.875,31.375,30.348817825317383,96000
2000-10-19,32.75,33.625,32.25,33.625,32.52522659301758,133000
2000-10-20,34.0,39.0,33.25,38.0,36.75714111328125,131200
2000-10-23,38.734375,39.75,36.75,37.5,36.27349090576172,106000
2000-10-24,38.0,38.5,36.5,36.75,35.548030853271484,40600
2000-10-25,36.75,37.25,36.375,36.6875,35.48757553100586,67400
2000-10-26,36.4375,36.4375,36.375,36.4375,35.2457389831543,34700
2000-10-27,36.375,36.5,36.125,36.125,34.94346237182617,85400
2000-10-30,35.875,35.875,33.0,33.1875,32.10204315185547,96800
2000-10-31,34.0,35.5,34.0,34.25,33.12977600097656,156000
2000-11-01,34.0,35.25,34.0,35.125,33.976173400878906,241200
2000-11-02,35.25,38.0,35.125,36.75,35.548030853271484,177000
2000-11-03,37.125,37.375,36.625,37.25,36.03166580200195,87100
2000-11-06,38.0,42.125,37.875,38.625,37.3616943359375,44800
2000-11-07,39.234375,39.25,37.75,38.125,36.8780517578125,82400
2000-11-08,38.125,39.0,37.875,39.0,37.72443389892578,46900
2000-11-09,39.125,42.25,38.625,38.625,37.3616943359375,82500
2000-11-10,39.125,39.875,36.125,36.9375,35.72938537597656,121400
2000-11-13,36.265625,36.265625,30.375,31.25,30.2279109954834,247400
2000-11-14,31.265625,32.25,31.0,31.0,29.986087799072266,25000
2000-11-15,31.0,32.0,30.625,32.0,30.953384399414062,24700
2000-11-16,32.5,36.0,32.5,35.25,34.097084045410156,30400
2000-11-17,35.5,35.9375,33.75,34.4375,33.31114959716797,15600
2000-11-20,34.5,34.5,28.3125,28.375,27.446943283081055,27900
2000-11-21,29.75,30.0,27.625,28.0,27.084209442138672,77200
2000-11-22,27.953125,28.125,27.625,28.0625,27.144664764404297,90800
2000-11-24,27.8125,28.0,27.625,27.6875,26.78192901611328,48500
2000-11-27,28.125,28.125,25.875,26.0,25.14961814880371,133500
2000-11-28,25.921875,25.921875,20.625,20.625,19.950420379638672,168400
2000-11-29,20.75,20.875,17.75,17.875,17.290363311767578,99100
2000-11-30,18.0625,18.359375,15.0625,18.125,17.53219223022461,519500
2000-12-01,19.0,19.125,18.5625,18.9375,18.318117141723633,144600
2000-12-04,19.0625,19.0625,16.5,17.125,16.56488800048828,264200
2000-12-05,17.6875,20.5,17.125,20.25,19.587682723999023,377000
2000-12-06,20.125,23.375,20.125,21.9375,21.219995498657227,189800
2000-12-07,21.875,25.75,21.75,25.125,24.303239822387695,108200
2000-12-08,26.0,28.75,25.125,28.6875,27.74921989440918,44800
2000-12-11,28.984375,32.9375,28.984375,31.75,30.7115535736084,34500
2000-12-12,32.0,32.0,30.3125,30.3125,29.321077346801758,15400
2000-12-13,30.3125,30.3125,27.5,27.8125,26.902843475341797,132300
2000-12-14,27.75,27.75,25.5,26.5,25.633264541625977,76300
2000-12-15,25.875,26.0,19.125,22.5,21.76409912109375,185700
2000-12-18,21.265625,23.25,19.5625,19.9375,19.285409927368164,29800
2000-12-19,21.0625,22.0,20.625,21.0,20.313152313232422,87200
2000-12-20,21.5625,21.625,16.3125,16.625,16.08124542236328,144600
2000-12-21,16.5,20.125,16.0,19.875,19.22494888305664,501800
2000-12-22,19.75,22.75,19.125,22.0,21.280447006225586,40400
2000-12-26,20.75,22.0,20.75,22.0,21.280447006225586,16300
2000-12-27,20.625,23.0,18.25,19.3125,18.68084716796875,68800
2000-12-28,20.0,22.5,19.875,22.0,21.280447006225586,97500
2000-12-29,22.0,25.0,21.875,23.5625,22.791847229003906,354000
2001-01-02,23.125,23.25,20.0,20.625,19.950420379638672,37700
2001-01-03,19.625,20.5,19.25,19.625,18.98312759399414,176900
2001-01-04,19.25,19.75,16.5,16.5,15.960338592529297,117200
2001-01-05,16.75,16.75,15.0,15.75,15.234865188598633,39500
2001-01-08,15.375,15.375,10.75,10.75,10.39840316772461,162400
2001-01-09,11.0625,14.75,11.0,14.3125,13.844382286071777,333400
2001-01-10,14.171875,16.0,13.3125,15.75,15.234865188598633,68200
2001-01-11,16.875,16.875,15.4375,15.5625,15.05350112915039,81000
2001-01-12,15.703125,16.0,14.75,15.0,14.509394645690918,152800
2001-01-16,15.34375,16.0,15.0,16.0,15.476692199707031,94400
2001-01-17,16.0,19.0,16.0,18.125,17.53219223022461,191400
2001-01-18,18.0,20.0,18.0,18.75,18.13674545288086,580500
2001-01-19,18.8125,18.8125,16.5,16.5,15.960338592529297,15600
2001-01-22,17.0,19.625,17.0,19.0,18.378570556640625,91400
2001-01-23,18.890625,19.25,18.75,19.125,18.499479293823242,94000
2001-01-24,19.125,20.125,19.0,20.125,19.46677589416504,19800
2001-01-25,20.0,20.8125,20.0,20.625,19.950420379638672,76800
2001-01-26,20.75,20.75,19.625,20.125,19.46677589416504,132700
2001-01-29,19.5,20.0,17.5625,18.6875,18.076290130615234,23200
2001-01-30,17.9375,24.0,17.75,22.25,21.52227210998535,142900
2001-01-31,23.25,27.25,22.3125,25.0,24.18233299255371,181700
2001-02-01,25.25,26.625,25.25,25.375,24.54506492614746,142600
2001-02-02,25.25,25.625,22.25,22.25,21.52227210998535,37500
2001-02-05,22.25,22.5,20.8125,21.625,20.91771125793457,18100
2001-02-06,21.75,22.75,20.0,22.75,22.00592041015625,15200
2001-02-07,21.25,23.125,21.25,23.0,22.24774742126465,21600
2001-02-08,22.0,23.125,22.0,22.1875,21.461811065673828,13700
2001-02-09,22.3125,23.5,22.125,22.75,22.00592041015625,46900
2001-02-12,22.5625,23.125,22.1875,22.875,22.1268310546875,29200
2001-02-13,22.9375,23.9375,22.875,23.625,22.852296829223633,30200
2001-02-14,23.25,24.25,23.125,24.25,23.45685577392578,54500
2001-02-15,24.359375,24.75,24.015625,24.1875,23.396404266357422,132800
2001-02-16,23.0625,23.875,22.25,23.3125,22.550024032592773,9000
2001-02-20,22.25,24.875,21.5625,24.625,23.819595336914062,17400
2001-02-21,24.375,24.75,22.875,24.0,23.21503448486328,46500
2001-02-22,23.25,23.5,21.75,22.0,21.280447006225586,19100
2001-02-23,21.875,21.875,17.75,19.5,18.86221694946289,25200
2001-02-26,20.5625,20.625,19.625,20.0,19.345861434936523,38700
2001-02-27,20.0,20.0,18.5,18.5,17.894920349121094,21100
2001-02-28,18.4375,18.875,18.0625,18.0625,17.471731185913086,5900
2001-03-01,18.0625,18.375,14.5625,16.0,15.476692199707031,64900
2001-03-02,16.21875,18.0,15.75,16.3125,15.778974533081055,577200
2001-03-05,16.328125,17.125,16.3125,16.75,16.202157974243164,142600
2001-03-06,17.125,18.75,17.125,18.5625,17.95537567138672,32000
2001-03-07,18.625,19.0,17.75,18.25,17.653100967407227,52900
2001-03-08,18.375,18.375,17.875,18.0,17.411277770996094,16400
2001-03-09,18.25,18.25,17.75,17.75,17.169458389282227,17400
2001-03-12,18.0,18.0,16.875,17.625,17.048542022705078,14000
2001-03-13,17.75,18.125,16.75,18.125,17.53219223022461,32700
2001-03-14,18.125,18.125,17.625,17.875,17.290363311767578,255300
2001-03-15,17.8125,17.875,17.25,17.3125,16.746259689331055,4100
2001-03-16,17.5,17.875,15.4375,16.375,15.839424133300781,256500
2001-03-19,16.640625,17.25,16.0,16.0625,15.53714656829834,210700
2001-03-20,16.484375,16.484375,14.625,15.25,14.751220703125,28800
2001-03-21,15.625,15.625,13.625,15.0625,14.569853782653809,18500
2001-03-22,13.5,13.5,8.3125,10.375,10.035663604736328,1201400
2001-03-23,11.0,11.25,10.0,11.0625,10.700678825378418,37200
2001-03-26,11.1875,12.875,11.0,12.375,11.970254898071289,430900
2001-03-27,12.875,14.6875,12.0,14.0,13.542104721069336,126900
2001-03-28,13.875,13.9375,13.25,13.875,13.421194076538086,219300
2001-03-29,13.75,13.75,13.125,13.25,12.816632270812988,209500
2001-03-30,13.6875,16.75,11.375,15.6875,15.174408912658691,326200
2001-04-02,15.3125,16.0,14.0,14.375,13.904839515686035,198600
2001-04-03,14.4375,14.5625,13.6875,14.0,13.542104721069336,98700
2001-04-04,14.25,14.25,13.3125,13.875,13.421194076538086,54100
2001-04-05,13.625,14.0,13.375,14.0,13.542104721069336,114300
2001-04-06,13.5625,13.8125,13.4375,13.4375,12.998002052307129,40600
2001-04-09,13.25,13.399999618530273,13.050000190734863,13.069999694824219,12.642523765563965,74500
2001-04-10,12.25,12.600000381469727,10.979999542236328,11.5,11.123873710632324,550200
2001-04-11,11.5600004196167,12.239999771118164,11.489999771118164,11.65999984741211,11.278635025024414,299000
2001-04-12,11.680000305175781,11.680000305175781,11.300000190734863,11.399999618530273,11.027140617370605,187900
2001-04-16,11.430000305175781,11.430000305175781,10.9399995803833,11.0,10.640223503112793,13900
2001-04-17,11.039999961853027,11.470000267028809,10.970000267028809,11.0,10.640223503112793,113800
2001-04-18,11.470000267028809,12.300000190734863,11.210000038146973,12.289999961853027,11.888033866882324,349500
2001-04-19,12.300000190734863,13.539999961853027,12.109999656677246,13.0,12.574809074401855,26100
2001-04-20,13.0,13.800000190734863,12.319999694824219,13.649999618530273,13.2035493850708,210900
2001-04-23,13.699999809265137,13.699999809265137,12.600000381469727,13.0,12.574809074401855,43900
2001-04-24,13.0,13.279999732971191,12.649999618530273,12.729999542236328,12.313640594482422,125300
2001-04-25,13.039999961853027,13.039999961853027,12.729999542236328,12.819999694824219,12.400697708129883,26100
2001-04-26,13.039999961853027,13.479999542236328,12.850000381469727,13.470000267028809,13.029438972473145,88000
2001-04-27,13.699999809265137,13.720000267028809,13.350000381469727,13.649999618530273,13.2035493850708,104700
2001-04-30,13.640000343322754,15.899999618530273,13.350000381469727,15.550000190734863,15.041407585144043,634500
2001-05-01,15.800000190734863,17.1299991607666,15.25,16.209999084472656,15.679823875427246,234600
