Date,Open,High,Low,Close,Adj Close,Volume
1995-10-03,18.75,19.875,18.5,19.625,12.73906421661377,10364800
1995-10-04,19.5,19.625,18.75,18.75,12.171083450317383,1810800
1995-10-05,19.125,19.5,19.0,19.375,12.576784133911133,1216500
1995-10-06,19.625,19.875,19.375,19.875,12.901344299316406,1538100
1995-10-09,19.875,19.875,19.375,19.375,12.576784133911133,869200
1995-10-10,19.375,19.5,19.0,19.25,12.495648384094238,840800
1995-10-11,19.375,19.5,19.25,19.375,12.576784133911133,630400
1995-10-12,19.375,19.5,19.125,19.375,12.576784133911133,519700
1995-10-13,19.5,20.0,19.5,20.0,12.982490539550781,557300
1995-10-16,20.125,20.125,19.625,19.75,12.820204734802246,188700
1995-10-17,19.75,19.875,19.625,19.75,12.820204734802246,244600
1995-10-18,19.625,19.75,19.5,19.625,12.73906421661377,152500
1995-10-19,19.5,19.625,19.5,19.625,12.73906421661377,180400
1995-10-20,19.625,19.75,19.375,19.5,12.657925605773926,298900
1995-10-23,19.25,19.375,19.125,19.25,12.495648384094238,731100
1995-10-24,19.375,19.375,19.0,19.0,12.333367347717285,670500
1995-10-25,19.125,19.25,19.0,19.0,12.333367347717285,749900
1995-10-26,19.125,19.125,19.0,19.0,12.333367347717285,810900
1995-10-27,19.0,19.25,19.0,19.25,12.495648384094238,460500
1995-10-30,19.375,19.375,19.25,19.25,12.495648384094238,76200
1995-10-31,20.75,20.75,19.875,20.375,13.225911140441895,2034100
1995-11-01,20.25,20.5,20.0,20.375,13.225911140441895,398600
1995-11-02,20.375,20.5,20.375,20.5,13.307048797607422,221200
1995-11-03,20.5,20.875,20.375,20.75,13.469326972961426,306800
1995-11-06,20.625,21.25,20.625,20.625,13.388188362121582,137200
1995-11-07,20.625,20.625,20.375,20.625,13.388188362121582,566300
1995-11-08,20.5,20.875,20.5,20.75,13.469326972961426,264700
1995-11-09,20.625,20.75,20.625,20.75,13.469326972961426,70700
1995-11-10,20.625,20.625,20.375,20.375,13.225911140441895,190500
1995-11-13,20.375,20.625,20.375,20.5,13.307048797607422,135900
1995-11-14,20.625,20.75,20.5,20.625,13.388188362121582,206900
1995-11-15,20.5,20.625,20.25,20.5,13.307048797607422,615500
1995-11-16,20.75,21.0,20.375,20.375,13.245294570922852,381400
1995-11-17,20.5,20.875,20.375,20.625,13.40781307220459,178000
1995-11-20,20.75,21.375,20.5,20.5,13.326552391052246,377000
1995-11-21,20.625,20.75,20.5,20.75,13.489069938659668,391400
1995-11-22,20.5,20.875,20.5,20.875,13.570328712463379,92600
1995-11-24,20.875,20.875,20.75,20.875,13.570328712463379,7900
1995-11-27,20.75,21.125,20.625,20.75,13.489069938659668,455000
1995-11-28,21.0,21.0,20.75,20.75,13.489069938659668,130200
1995-11-29,20.75,20.875,20.75,20.75,13.489069938659668,59500
1995-11-30,20.625,21.0,20.625,20.875,13.570328712463379,180100
1995-12-01,21.0,21.25,20.875,21.25,13.814107894897461,94400
1995-12-04,21.25,21.25,21.0,21.0,13.651592254638672,228600
1995-12-05,21.0,21.125,20.875,21.125,13.73284912109375,251400
1995-12-06,21.25,21.25,21.0,21.0,13.651592254638672,109900
1995-12-07,21.25,21.625,21.25,21.375,13.89536190032959,171800
1995-12-08,21.125,21.375,21.0,21.25,13.814107894897461,224000
1995-12-11,21.25,21.75,21.25,21.5,13.9766263961792,123800
1995-12-12,21.5,21.625,21.25,21.5,13.9766263961792,192100
1995-12-13,21.5,21.875,21.375,21.625,14.057893753051758,81800
1995-12-14,21.875,22.375,21.875,21.875,14.220414161682129,251200
1995-12-15,22.0,22.5,22.0,22.25,14.464184761047363,220800
1995-12-18,22.125,22.125,21.875,22.125,14.382928848266602,320900
1995-12-19,22.0,23.0,21.875,23.0,14.951741218566895,361400
1995-12-20,23.25,23.375,22.375,22.375,14.545445442199707,168300
1995-12-21,22.375,23.0,22.375,22.875,14.8704833984375,90300
1995-12-22,23.0,23.0,22.625,22.875,14.8704833984375,104500
1995-12-26,22.625,23.0,22.625,23.0,14.951741218566895,109100
1995-12-27,23.0,23.0,22.75,22.875,14.8704833984375,108400
1995-12-28,23.0,23.0,22.625,22.625,14.707966804504395,74100
1995-12-29,22.625,23.5,22.625,23.375,15.195517539978027,230800
1996-01-02,23.25,23.25,22.25,22.875,14.8704833984375,237100
1996-01-03,22.75,22.875,22.5,22.75,14.789222717285156,249500
1996-01-04,22.5,22.5,22.0,22.25,14.464184761047363,276800
1996-01-05,22.25,22.5,22.25,22.5,14.62669849395752,171100
1996-01-08,22.5,22.5,22.25,22.375,14.545445442199707,62200
1996-01-09,22.5,22.5,22.0,22.375,14.545445442199707,65300
1996-01-10,22.25,22.625,22.125,22.375,14.545445442199707,535400
1996-01-11,22.375,22.375,22.0,22.25,14.464184761047363,83400
1996-01-12,22.25,22.5,22.25,22.375,14.545445442199707,60200
1996-01-15,22.5,22.625,22.25,22.25,14.464184761047363,76800
1996-01-16,22.375,22.625,22.125,22.25,14.464184761047363,81000
1996-01-17,22.5,22.625,22.25,22.375,14.545445442199707,50800
1996-01-18,22.125,22.375,22.0,22.0,14.301663398742676,972000
1996-01-19,21.875,22.0,21.375,22.0,14.301663398742676,102800
1996-01-22,21.75,21.75,20.375,20.75,13.489069938659668,449000
1996-01-23,21.0,22.25,21.0,21.875,14.220414161682129,798600
1996-01-24,21.875,22.625,21.875,22.5,14.62669849395752,269500
1996-01-25,22.75,22.75,22.0,22.0,14.301663398742676,181200
1996-01-26,22.0,22.0,21.875,21.875,14.220414161682129,136500
1996-01-29,21.875,22.625,21.875,22.5,14.62669849395752,102200
1996-01-30,22.5,22.625,22.125,22.375,14.545445442199707,315200
1996-01-31,22.125,22.25,21.625,21.75,14.139150619506836,607200
1996-02-01,21.875,22.0,21.75,22.0,14.301663398742676,363500
1996-02-02,22.0,22.0,21.875,22.0,14.301663398742676,124700
1996-02-05,22.0,22.0,21.25,21.25,13.814107894897461,206800
1996-02-06,21.125,21.375,20.125,20.875,13.570328712463379,648100
1996-02-07,20.75,21.125,20.5,20.75,13.489069938659668,454500
1996-02-08,21.25,21.5,20.75,21.5,13.9766263961792,757100
1996-02-09,21.5,22.0,21.375,21.875,14.220414161682129,531000
1996-02-12,21.875,22.625,21.875,22.625,14.707966804504395,315400
1996-02-13,22.625,22.625,22.375,22.5,14.62669849395752,123600
1996-02-14,22.5,22.5,22.125,22.25,14.483502388000488,175900
1996-02-15,22.25,22.625,22.25,22.5,14.646222114562988,143600
1996-02-16,22.5,23.25,22.375,23.25,15.134443283081055,83500
1996-02-20,23.0,23.0,22.75,22.75,14.808963775634766,819300
1996-02-21,23.0,23.0,22.625,22.75,14.808963775634766,953000
1996-02-22,22.875,23.125,22.875,23.125,15.053070068359375,600900
1996-02-23,23.25,23.375,23.0,23.125,15.053070068359375,254900
1996-02-26,23.0,23.0,22.75,23.0,14.971708297729492,177500
1996-02-27,23.125,23.75,23.125,23.5,15.297176361083984,176400
1996-02-28,23.5,24.75,23.5,24.5,15.948124885559082,599900
1996-02-29,24.5,24.625,24.375,24.5,15.948124885559082,246500
1996-03-01,24.625,24.625,23.75,23.875,15.541274070739746,214200
1996-03-04,23.875,25.125,23.875,25.0,16.273588180541992,224200
1996-03-05,25.125,25.125,24.75,24.875,16.19222068786621,32900
1996-03-06,24.75,25.125,24.5,25.0,16.273588180541992,413900
1996-03-07,24.75,25.0,24.625,24.625,16.02948570251465,361200
1996-03-08,24.625,24.625,23.375,23.5,15.297176361083984,219800
1996-03-11,23.25,23.5,22.875,23.0,14.971708297729492,264200
1996-03-12,22.75,22.875,22.25,22.5,14.646222114562988,310900
1996-03-13,22.5,22.5,22.125,22.25,14.483502388000488,179200
1996-03-14,22.25,22.875,22.25,22.5,14.646222114562988,619100
1996-03-15,22.5,22.625,21.875,22.0,14.320757865905762,156900
1996-03-18,22.125,22.375,21.875,22.25,14.483502388000488,137400
1996-03-19,22.125,22.375,21.75,22.375,14.564864158630371,519300
1996-03-20,22.375,22.875,22.375,22.625,14.727602005004883,301600
1996-03-21,22.0,22.5,22.0,22.25,14.483502388000488,268700
1996-03-22,22.75,23.875,22.75,23.875,15.541274070739746,212600
1996-03-25,24.0,24.25,23.875,24.125,15.704019546508789,174400
1996-03-26,24.125,24.25,23.875,24.0,15.622649192810059,297700
