Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,8.125,8.71875,8.09375,8.625,6.460620403289795,35659200
1995-11-20,8.59375,8.8125,8.1875,8.3125,6.226538181304932,8434000
1995-11-21,8.25,8.28125,7.9375,8.15625,6.109499931335449,6440000
1995-11-22,8.125,8.53125,8.125,8.40625,6.29676628112793,3480800
1995-11-24,8.46875,8.71875,8.4375,8.71875,6.530845642089844,1279200
1995-11-27,8.71875,8.90625,8.625,8.75,6.554252624511719,2403200
1995-11-28,8.75,8.78125,8.5,8.625,6.460620403289795,1054800
1995-11-29,8.59375,8.96875,8.5625,8.75,6.554252624511719,1331200
1995-11-30,8.84375,9.1875,8.8125,9.09375,6.81174373626709,2426000
1995-12-01,9.09375,9.125,8.9375,9.0,6.741518974304199,978400
1995-12-04,9.03125,9.09375,8.84375,8.90625,6.671292781829834,594000
1995-12-05,8.90625,8.90625,8.625,8.78125,6.577658653259277,1148800
1995-12-06,8.75,9.0,8.75,8.8125,6.601068496704102,1216000
1995-12-07,8.875,8.90625,8.6875,8.75,6.554252624511719,641200
1995-12-08,8.71875,8.96875,8.625,8.96875,6.718109130859375,668800
1995-12-11,9.0,9.09375,8.96875,9.09375,6.81174373626709,660000
1995-12-12,9.03125,9.0625,8.71875,8.75,6.554252624511719,971600
1995-12-13,8.8125,8.8125,8.53125,8.6875,6.507436752319336,528400
1995-12-14,8.71875,8.71875,8.4375,8.4375,6.3201751708984375,639200
1995-12-15,8.5,8.5625,8.34375,8.375,6.273354530334473,1366400
1995-12-18,8.375,8.40625,8.25,8.28125,6.203132629394531,741600
1995-12-19,8.25,8.53125,8.21875,8.4375,6.3201751708984375,643600
1995-12-20,8.46875,8.6875,8.46875,8.625,6.460620403289795,360400
1995-12-21,8.59375,8.78125,8.5625,8.6875,6.507436752319336,301600
1995-12-22,8.71875,8.75,8.625,8.75,6.554252624511719,208400
1995-12-26,8.71875,8.71875,8.5,8.53125,6.390397548675537,240000
1995-12-27,8.625,8.84375,8.625,8.84375,6.624475002288818,351600
1995-12-28,8.875,8.90625,8.78125,8.8125,6.601068496704102,344400
1995-12-29,8.78125,8.84375,8.65625,8.71875,6.530845642089844,219200
1996-01-02,8.71875,8.78125,8.65625,8.75,6.554252624511719,169200
1996-01-03,8.78125,8.9375,8.65625,8.71875,6.530845642089844,682000
1996-01-04,8.75,8.8125,8.53125,8.65625,6.48402738571167,414800
1996-01-05,8.53125,8.59375,8.28125,8.4375,6.3201751708984375,773600
1996-01-08,8.4375,8.46875,8.375,8.46875,6.34358024597168,48800
1996-01-09,8.5,8.5,8.375,8.375,6.273354530334473,864000
1996-01-10,8.28125,8.375,8.125,8.28125,6.203132629394531,458400
1996-01-11,8.3125,8.5625,8.3125,8.46875,6.34358024597168,477600
1996-01-12,8.4375,8.6875,8.40625,8.6875,6.507436752319336,338400
1996-01-15,8.6875,8.75,8.625,8.65625,6.48402738571167,580800
1996-01-16,8.59375,8.59375,8.21875,8.4375,6.3201751708984375,512800
1996-01-17,8.3125,8.375,8.125,8.375,6.273354530334473,126400
1996-01-18,8.28125,8.34375,8.03125,8.15625,6.109499931335449,696000
1996-01-19,8.15625,8.1875,8.0625,8.09375,6.062684535980225,792800
1996-01-22,8.09375,8.46875,8.09375,8.3125,6.226538181304932,568800
1996-01-23,8.25,8.28125,8.15625,8.15625,6.109499931335449,798400
1996-01-24,8.125,8.28125,8.125,8.28125,6.203132629394531,776400
1996-01-25,8.25,8.5625,8.25,8.5625,6.4138054847717285,1303200
1996-01-26,8.5625,8.59375,8.5,8.5625,6.4138054847717285,634800
1996-01-29,8.59375,8.59375,8.375,8.4375,6.3201751708984375,652000
1996-01-30,8.4375,9.40625,8.375,9.25,6.928781032562256,2810800
1996-01-31,9.1875,9.53125,9.125,9.21875,6.905373573303223,1136400
1996-02-01,9.1875,9.21875,8.84375,9.03125,6.7649245262146,516800
1996-02-02,9.09375,9.3125,9.09375,9.25,6.928781032562256,702400
1996-02-05,9.3125,9.46875,9.25,9.40625,7.045822620391846,756400
1996-02-06,9.40625,9.5625,9.375,9.46875,7.092640399932861,455200
1996-02-07,9.53125,9.84375,9.5,9.78125,7.326718807220459,650800
1996-02-08,9.75,9.8125,9.53125,9.5625,7.162861347198486,571600
1996-02-09,9.625,9.625,9.46875,9.59375,7.186269283294678,520800
1996-02-12,9.53125,9.5625,9.25,9.34375,6.999006748199463,619200
1996-02-13,9.25,9.28125,9.125,9.1875,6.881965160369873,204400
1996-02-14,9.21875,9.4375,9.15625,9.15625,6.858559608459473,410000
1996-02-15,9.28125,9.4375,9.28125,9.34375,6.999006748199463,348800
1996-02-16,9.34375,9.34375,9.15625,9.1875,6.881965160369873,322400
1996-02-20,9.0625,9.1875,8.9375,9.0625,6.788333892822266,633200
1996-02-21,9.09375,9.21875,9.09375,9.125,6.835150241851807,497600
1996-02-22,9.125,9.125,8.78125,9.09375,6.81174373626709,1184000
1996-02-23,9.125,9.34375,9.09375,9.3125,6.975599765777588,532400
1996-02-26,9.3125,9.34375,9.1875,9.25,6.928781032562256,359600
1996-02-27,9.3125,9.375,9.125,9.15625,6.858559608459473,1742400
1996-02-28,9.1875,9.25,9.1875,9.21875,6.905373573303223,921600
1996-02-29,9.21875,9.375,9.125,9.15625,6.858559608459473,812400
1996-03-01,9.28125,9.53125,9.21875,9.46875,7.092640399932861,605600
1996-03-04,9.5,9.5,9.3125,9.375,7.0224175453186035,650800
1996-03-05,9.3125,9.46875,9.28125,9.40625,7.045822620391846,511200
1996-03-06,9.4375,9.46875,9.3125,9.3125,6.975599765777588,445600
1996-03-07,9.28125,9.34375,9.203125,9.21875,6.905373573303223,547600
1996-03-08,9.0625,9.21875,8.84375,9.0,6.741518974304199,625200
1996-03-11,9.0,9.0,8.84375,8.875,6.647886276245117,217200
1996-03-12,8.90625,8.90625,8.40625,8.65625,6.48402738571167,598000
1996-03-13,8.6875,8.9375,8.59375,8.90625,6.687710762023926,335600
1996-03-14,8.90625,8.96875,8.84375,8.90625,6.687710762023926,273600
1996-03-15,8.96875,8.96875,8.625,8.71875,6.546919345855713,371600
1996-03-18,8.75,8.96875,8.75,8.96875,6.734642505645752,257600
1996-03-19,8.96875,8.96875,8.75,8.90625,6.687710762023926,276800
1996-03-20,8.875,8.90625,8.65625,8.71875,6.546919345855713,236400
1996-03-21,8.71875,8.71875,8.59375,8.65625,6.499985694885254,520000
1996-03-22,8.65625,8.65625,8.59375,8.65625,6.499985694885254,198000
1996-03-25,8.8125,8.8125,8.71875,8.78125,6.593848705291748,284000
1996-03-26,8.8125,9.21875,8.78125,9.0,6.7581071853637695,327200
1996-03-27,9.0625,9.1875,9.03125,9.09375,6.8285064697265625,275600
1996-03-28,9.15625,9.21875,9.0625,9.09375,6.8285064697265625,236800
1996-03-29,9.09375,9.125,8.90625,8.9375,6.71117639541626,280800
