Date,Open,High,Low,Close,Adj Close,Volume
1998-07-28,5.5,5.515625,5.375,5.375,0.9501678943634033,14124000
1998-07-29,5.375,5.390625,5.375,5.390625,0.9529300928115845,585200
1998-07-30,5.40625,5.40625,5.375,5.375,0.9501678943634033,266800
1998-07-31,5.390625,5.390625,5.3125,5.3125,0.9391193389892578,649200
1998-08-03,5.3125,5.328125,5.3125,5.3125,0.9391193389892578,253600
1998-08-04,5.3125,5.3125,5.125,5.125,0.9059740900993347,754800
1998-08-05,5.0625,5.0625,4.8125,4.8125,0.8507318496704102,475600
1998-08-06,4.8125,4.9375,4.796875,4.90625,0.8673045039176941,480400
1998-08-07,4.9375,5.125,4.90625,4.96875,0.8783529996871948,244400
1998-08-10,4.984375,5.125,4.890625,4.890625,0.8645427227020264,140000
1998-08-11,4.828125,4.859375,4.65625,4.75,0.8396832346916199,361200
1998-08-12,4.75,4.90625,4.75,4.890625,0.8645427227020264,486000
1998-08-13,4.875,4.96875,4.78125,4.796875,0.8479698896408081,228400
1998-08-14,4.828125,4.875,4.625,4.65625,0.8231107592582703,380800
1998-08-17,4.640625,4.71875,4.59375,4.6875,0.8286352753639221,266400
1998-08-18,4.671875,4.84375,4.671875,4.78125,0.8452081084251404,313600
1998-08-19,4.8125,4.90625,4.75,4.84375,0.8562555909156799,130000
1998-08-20,4.875,4.921875,4.8125,4.84375,0.8562555909156799,112000
1998-08-21,4.828125,4.84375,4.4375,4.75,0.8396832346916199,364800
1998-08-24,4.8125,4.90625,4.484375,4.6875,0.8286352753639221,400400
1998-08-25,4.71875,4.71875,4.53125,4.578125,0.8093005418777466,212000
1998-08-26,4.53125,4.59375,4.5,4.546875,0.8037761449813843,344000
1998-08-27,4.515625,4.53125,4.3125,4.484375,0.7927271127700806,393600
1998-08-28,4.46875,4.53125,4.21875,4.21875,0.7457712292671204,445600
1998-08-31,4.25,4.3125,3.65625,4.3125,0.7623441219329834,718800
1998-09-01,4.21875,4.4375,4.0,4.296875,0.7595816850662231,535200
1998-09-02,4.3125,4.59375,4.3125,4.46875,0.7899651527404785,342000
1998-09-03,4.25,4.375,4.1875,4.3125,0.7623441219329834,184400
1998-09-04,4.34375,4.34375,4.15625,4.25,0.751295804977417,159200
1998-09-08,4.25,4.4375,4.25,4.34375,0.7678680419921875,362000
1998-09-09,4.34375,4.34375,4.125,4.3125,0.7623441219329834,268800
1998-09-10,4.21875,4.21875,4.0,4.125,0.7291986346244812,270000
1998-09-11,4.15625,4.21875,4.03125,4.21875,0.7457712292671204,347600
1998-09-14,4.1875,4.40625,4.125,4.34375,0.7678680419921875,210800
1998-09-15,4.40625,4.46875,4.28125,4.34375,0.7678680419921875,194400
1998-09-16,4.34375,4.484375,4.34375,4.484375,0.7927271127700806,165600
1998-09-17,4.4375,4.4375,4.28125,4.3125,0.7623441219329834,144000
1998-09-18,4.296875,4.40625,4.234375,4.375,0.7733924984931946,150400
1998-09-21,4.34375,4.484375,4.3125,4.4375,0.7844411134719849,108800
1998-09-22,4.4375,4.46875,4.3125,4.375,0.7733924984931946,207600
1998-09-23,4.4375,4.4375,4.3125,4.34375,0.7678680419921875,244800
1998-09-24,4.40625,4.5,4.34375,4.4375,0.7844411134719849,211600
1998-09-25,4.40625,4.484375,4.40625,4.484375,0.7927271127700806,150400
1998-09-28,4.5,4.625,4.46875,4.53125,0.8010134100914001,289200
1998-09-29,4.5625,4.5625,4.46875,4.46875,0.7899651527404785,138000
1998-09-30,4.484375,4.5625,4.421875,4.53125,0.8010134100914001,148000
1998-10-01,4.59375,4.59375,4.359375,4.40625,0.7789170742034912,241600
1998-10-02,4.4375,4.4375,4.28125,4.34375,0.7678680419921875,84400
1998-10-05,4.40625,4.40625,3.953125,4.15625,0.734722912311554,534400
1998-10-06,4.21875,4.3125,4.09375,4.203125,0.7430092692375183,307200
1998-10-07,4.1875,4.25,4.0625,4.15625,0.734722912311554,163600
1998-10-08,4.125,4.1875,3.8125,4.03125,0.7126259207725525,260000
1998-10-09,4.09375,4.21875,4.03125,4.15625,0.734722912311554,174000
1998-10-12,4.21875,4.28125,4.125,4.1875,0.7402470707893372,127200
1998-10-13,4.25,4.28125,4.125,4.21875,0.7457712292671204,185600
1998-10-14,4.21875,4.28125,4.125,4.125,0.7291986346244812,134800
1998-10-15,4.15625,4.296875,4.0625,4.15625,0.734722912311554,122800
1998-10-16,4.21875,4.28125,4.09375,4.25,0.751295804977417,318000
1998-10-19,4.28125,4.46875,4.28125,4.46875,0.7899651527404785,300000
1998-10-20,4.5,4.53125,4.28125,4.46875,0.7899651527404785,449600
1998-10-21,4.40625,4.5625,4.34375,4.40625,0.7789170742034912,227600
1998-10-22,4.40625,4.484375,4.34375,4.46875,0.7899651527404785,208000
1998-10-23,4.4375,4.46875,4.3125,4.453125,0.7872031927108765,169600
1998-10-26,4.46875,4.53125,4.40625,4.53125,0.8010134100914001,167200
1998-10-27,4.46875,4.46875,4.03125,4.1875,0.7402470707893372,929600
1998-10-28,4.15625,4.1875,3.90625,4.1875,0.7606835961341858,242400
1998-10-29,4.25,4.25,4.15625,4.234375,0.7691988945007324,162400
1998-10-30,4.234375,4.234375,4.03125,4.15625,0.7550064921379089,220800
1998-11-02,4.1875,4.234375,4.125,4.171875,0.7578451633453369,173200
1998-11-03,4.078125,4.125,4.0,4.015625,0.7294614911079407,159200
1998-11-04,4.078125,4.09375,3.875,3.96875,0.7209463119506836,319200
1998-11-05,3.953125,4.1875,3.953125,4.15625,0.7550064921379089,262000
1998-11-06,4.125,4.1875,4.03125,4.140625,0.7521685361862183,198400
1998-11-09,4.140625,4.15625,4.0,4.03125,0.7322996258735657,166000
1998-11-10,3.96875,4.15625,3.9375,4.03125,0.7322996258735657,257200
1998-11-11,4.0625,4.09375,3.90625,4.03125,0.7322996258735657,214000
1998-11-12,4.0625,4.171875,4.0,4.125,0.749329686164856,206400
1998-11-13,4.09375,4.1875,4.0,4.109375,0.7464916110038757,238400
1998-11-16,4.078125,4.171875,4.0,4.0625,0.7379764914512634,215200
1998-11-17,4.046875,4.171875,3.953125,4.078125,0.740814745426178,302000
1998-11-18,4.125,4.15625,4.03125,4.109375,0.7464916110038757,298400
1998-11-19,4.109375,4.234375,4.09375,4.203125,0.7635219097137451,186000
1998-11-20,4.21875,4.21875,4.09375,4.125,0.749329686164856,124400
1998-11-23,4.03125,4.140625,4.0,4.109375,0.7464916110038757,402000
1998-11-24,4.078125,4.109375,3.984375,4.03125,0.7322996258735657,412000
1998-11-25,4.046875,4.234375,4.03125,4.203125,0.7635219097137451,186400
1998-11-27,4.21875,4.21875,4.171875,4.171875,0.7578451633453369,72000
1998-11-30,4.140625,4.171875,4.0625,4.0625,0.7379764914512634,288400
1998-12-01,4.03125,4.125,4.0,4.046875,0.735137939453125,237600
1998-12-02,4.0,4.0625,3.84375,3.921875,0.7124309539794922,345600
1998-12-03,3.875,3.875,3.71875,3.75,0.6812089681625366,375600
1998-12-04,3.78125,3.921875,3.75,3.921875,0.7124309539794922,352800
1998-12-07,3.828125,3.921875,3.765625,3.875,0.7039158344268799,350000
1998-12-08,3.90625,3.90625,3.828125,3.875,0.7039158344268799,254800
1998-12-09,3.84375,3.84375,3.6875,3.828125,0.6954008340835571,461600
1998-12-10,3.75,3.84375,3.71875,3.71875,0.6755324602127075,393600
1998-12-11,3.765625,3.859375,3.734375,3.859375,0.7010776400566101,390400
1998-12-14,3.828125,3.953125,3.71875,3.75,0.6812089681625366,549200
1998-12-15,3.796875,3.796875,3.5625,3.5625,0.6471489071846008,492400
1998-12-16,3.6875,3.71875,3.53125,3.546875,0.6443102359771729,371600
1998-12-17,3.546875,3.640625,3.5,3.5625,0.6471489071846008,519200
1998-12-18,3.5625,3.671875,3.5,3.5,0.6357953548431396,436800
1998-12-21,3.5,3.59375,3.4375,3.53125,0.6414719223976135,411200
1998-12-22,3.46875,3.59375,3.4375,3.5,0.6357953548431396,428400
1998-12-23,3.53125,3.84375,3.53125,3.84375,0.6982396841049194,748800
1998-12-24,3.84375,4.0,3.796875,3.953125,0.7181079983711243,396000
1998-12-28,3.9375,4.03125,3.875,4.0,0.7266231775283813,655600
1998-12-29,3.9375,3.953125,3.8125,3.8125,0.6925628781318665,424000
1998-12-30,3.84375,3.84375,3.6875,3.6875,0.6698554754257202,276000
1998-12-31,3.6875,3.78125,3.6875,3.71875,0.6755324602127075,1248000
1999-01-04,3.75,4.03125,3.734375,4.03125,0.7322996258735657,564000
1999-01-05,4.015625,4.21875,4.015625,4.1875,0.7606835961341858,195600
1999-01-06,4.234375,4.40625,4.234375,4.40625,0.8004207015037537,472000
1999-01-07,4.4375,4.4375,4.359375,4.375,0.7947435975074768,273600
1999-01-08,4.40625,4.4375,4.34375,4.40625,0.8004207015037537,384000
1999-01-11,4.4375,4.4375,4.34375,4.34375,0.7890670895576477,119200
1999-01-12,4.3125,4.484375,4.3125,4.484375,0.8146123886108398,233600
1999-01-13,4.390625,4.484375,4.3125,4.40625,0.8004207015037537,208800
1999-01-14,4.4375,4.53125,4.4375,4.4375,0.8060979247093201,337200
