Date,Open,High,Low,Close,Adj Close,Volume
1999-09-24,6.09375,6.15625,5.90625,6.09375,2.6687445640563965,36241400
1999-09-27,6.0625,6.09375,5.875,5.9375,2.6003153324127197,4570800
1999-09-28,5.9375,6.0,5.8125,5.875,2.5729446411132812,4021200
1999-09-29,5.875,6.0625,5.875,5.90625,2.5866286754608154,2679600
1999-09-30,5.9375,6.0,5.90625,5.9375,2.6003153324127197,1590000
1999-10-01,5.9375,5.9375,5.8125,5.84375,2.5592572689056396,665400
1999-10-04,5.84375,5.9375,5.84375,5.875,2.5729446411132812,1473400
1999-10-05,5.90625,5.96875,5.875,5.90625,2.5866286754608154,759600
1999-10-06,5.875,5.9375,5.875,5.90625,2.5866286754608154,1233000
1999-10-07,5.875,5.9375,5.84375,5.84375,2.5592572689056396,841000
1999-10-08,5.84375,5.9375,5.75,5.78125,2.5318870544433594,819200
1999-10-11,5.75,5.75,5.28125,5.625,2.4634556770324707,1953200
1999-10-12,5.75,5.84375,5.75,5.84375,2.5592572689056396,2054600
1999-10-13,5.8125,5.90625,5.78125,5.8125,2.5455710887908936,1708400
1999-10-14,5.8125,5.84375,5.75,5.8125,2.5455710887908936,828200
1999-10-15,5.75,5.78125,5.6875,5.71875,2.5045135021209717,868200
1999-10-18,5.75,5.8125,5.71875,5.8125,2.5455710887908936,942200
1999-10-19,5.875,6.0625,5.84375,6.0,2.6276872158050537,1088400
1999-10-20,6.0625,6.1875,5.9375,5.96875,2.6140012741088867,1003000
1999-10-21,5.9375,6.0,5.90625,5.9375,2.6003153324127197,385800
1999-10-22,5.96875,5.96875,5.9375,5.9375,2.6003153324127197,595000
1999-10-25,5.9375,6.125,5.9375,6.0625,2.655059337615967,1102000
1999-10-26,6.0625,6.15625,6.03125,6.125,2.682429790496826,1906000
1999-10-27,6.125,6.1875,6.125,6.1875,2.7098021507263184,803200
1999-10-28,6.25,6.25,6.09375,6.09375,2.6687445640563965,1133800
1999-10-29,6.125,6.125,5.84375,6.03125,2.6413722038269043,2009800
1999-11-01,6.0,6.03125,5.9375,6.0,2.6276872158050537,600600
1999-11-02,6.0625,6.125,6.0,6.125,2.682429790496826,1543600
1999-11-03,6.125,6.15625,6.09375,6.15625,2.6961164474487305,759400
1999-11-04,6.15625,6.25,6.125,6.21875,2.72348690032959,1517600
1999-11-05,6.21875,6.28125,6.21875,6.21875,2.72348690032959,1009800
1999-11-08,6.21875,6.21875,6.125,6.125,2.682429790496826,1284200
1999-11-09,6.125,6.15625,6.0625,6.125,2.682429790496826,660600
1999-11-10,6.125,6.21875,6.09375,6.15625,2.6961164474487305,1101200
1999-11-11,6.1875,6.6875,6.1875,6.625,2.901405096054077,1984800
1999-11-12,6.6875,6.90625,6.65625,6.84375,2.9972047805786133,795000
