Date,Open,High,Low,Close,Adj Close,Volume
1997-10-08,52.25,52.5,50.5,50.5,2.210428476333618,1556300
1997-10-09,50.5,51.75,50.5,51.25,2.2432568073272705,150775
1997-10-10,51.0,51.0,50.0,51.0,2.2323126792907715,92425
1997-10-13,51.0,51.0,50.25,50.25,2.1994845867156982,49100
1997-10-14,50.25,50.5,49.75,49.75,2.1775996685028076,133900
1997-10-15,49.5,50.25,49.5,49.75,2.1775996685028076,58200
1997-10-16,50.25,50.75,49.5,49.75,2.1775996685028076,109850
1997-10-17,49.5,49.75,48.5,49.0,2.1447718143463135,62150
1997-10-20,49.25,49.5,49.0,49.25,2.155714511871338,41075
1997-10-21,49.25,49.25,49.0,49.25,2.155714511871338,29800
1997-10-22,49.0,50.0,49.0,49.75,2.1775996685028076,50050
1997-10-23,48.5,48.75,47.5,48.0,2.1010003089904785,132675
1997-10-24,48.0,48.5,48.0,48.0,2.1010003089904785,143950
1997-10-27,48.0,48.25,46.5,46.5,2.035344362258911,153250
1997-10-28,46.0,48.0,45.0,47.5,2.079115390777588,50750
1997-10-29,46.25,48.5,46.25,47.75,2.090056896209717,106925
1997-10-30,46.5,48.0,46.5,47.5,2.079115390777588,9650
1997-10-31,47.75,48.0,47.5,47.5,2.079115390777588,7350
1997-11-03,47.75,48.5,47.75,48.25,2.111943244934082,16450
1997-11-04,48.0,48.25,47.0,47.25,2.068171739578247,29500
1997-11-05,47.25,47.5,47.0,47.25,2.068171739578247,49000
1997-11-06,47.0,47.5,46.75,46.75,2.0462868213653564,47000
1997-11-07,46.5,47.0,45.5,45.5,1.9915732145309448,37825
1997-11-10,46.0,46.25,44.0,44.0,1.9259175062179565,47625
1997-11-11,44.5,44.75,43.5,44.75,1.9587452411651611,36225
1997-11-12,44.75,44.75,42.5,42.5,1.8602608442306519,35675
1997-11-13,43.0,43.75,42.0,42.75,1.871204137802124,44300
1997-11-14,43.0,43.0,41.5,41.75,1.82743239402771,31275
1997-11-17,41.5,42.0,41.0,41.0,1.7946041822433472,46550
1997-11-18,41.5,43.5,41.5,43.5,1.9040319919586182,44400
1997-11-19,43.5,44.25,43.5,44.0,1.9259175062179565,8950
1997-11-20,44.0,44.0,43.5,43.75,1.9149736166000366,21225
1997-11-21,44.0,44.25,43.5,43.75,1.9149736166000366,12375
1997-11-24,43.75,44.0,43.0,43.25,1.8930894136428833,22850
1997-11-25,43.5,43.5,42.5,42.5,1.8602608442306519,7025
1997-11-26,43.0,43.25,42.5,42.75,1.871204137802124,48425
1997-11-28,42.75,43.25,42.75,43.0,1.8821457624435425,5000
1997-12-01,43.0,43.25,42.75,42.75,1.871204137802124,7800
1997-12-02,43.25,43.75,43.0,43.5,1.9040319919586182,3550
1997-12-03,43.75,43.75,42.75,43.0,1.8821457624435425,4950
1997-12-04,42.5,45.25,42.5,45.25,1.980630874633789,40000
1997-12-05,45.25,45.25,43.25,44.0,1.9259175062179565,18825
1997-12-08,44.0,44.0,43.0,43.25,1.8930894136428833,5000
1997-12-09,43.0,43.0,41.5,41.5,1.8164911270141602,12075
1997-12-10,42.0,42.5,41.5,41.75,1.82743239402771,28175
1997-12-11,41.5,41.75,41.0,41.25,1.805546522140503,12325
1997-12-12,41.25,41.5,40.5,41.25,1.805546522140503,13100
1997-12-15,41.0,41.25,40.0,40.0,1.7508333921432495,22925
1997-12-16,40.0,41.0,40.0,41.0,1.7946041822433472,37675
1997-12-17,41.5,43.0,41.5,42.5,1.8602608442306519,20700
1997-12-18,42.5,42.5,41.5,42.0,1.8383753299713135,8875
1997-12-19,42.0,43.25,41.5,43.25,1.8930894136428833,32475
1997-12-22,43.0,43.0,42.0,42.5,1.8602608442306519,12025
1997-12-23,42.5,42.75,42.0,42.25,1.8493186235427856,25075
1997-12-24,42.0,42.5,42.0,42.0,1.8383753299713135,11900
1997-12-26,41.5,41.5,40.5,41.5,1.8164911270141602,12200
1997-12-29,41.0,41.5,41.0,41.25,1.8446630239486694,6450
1997-12-30,41.25,42.5,41.25,42.5,1.9005622863769531,11825
1997-12-31,42.0,44.0,42.0,44.0,1.9676406383514404,38925
1998-01-02,44.5,44.5,43.75,43.75,1.9564602375030518,2425
1998-01-05,43.75,43.75,43.0,43.5,1.94528067111969,6500
1998-01-06,43.5,43.5,41.75,42.0,1.8782016038894653,3050
1998-01-07,42.0,42.0,41.0,41.5,1.8558427095413208,5650
1998-01-08,41.5,41.5,41.0,41.0,1.8334826231002808,750
1998-01-09,41.0,41.5,40.75,41.5,1.8558427095413208,9150
1998-01-12,41.5,41.5,40.0,40.75,1.822303295135498,2875
1998-01-13,41.0,41.0,40.75,41.0,1.8334826231002808,1375
1998-01-14,40.75,41.0,40.5,41.0,1.8334826231002808,2550
1998-01-15,41.0,42.0,40.75,42.0,1.8782016038894653,16950
1998-01-16,41.75,43.5,41.75,43.0,1.922922134399414,7600
1998-01-20,43.0,43.25,43.0,43.0,1.922922134399414,14150
1998-01-21,43.25,43.25,42.5,42.75,1.9117425680160522,5500
1998-01-22,43.25,43.25,42.5,42.5,1.9005622863769531,3600
1998-01-23,42.0,42.5,42.0,42.0,1.8782016038894653,1900
1998-01-26,42.0,42.5,41.5,41.5,1.8558427095413208,2575
1998-01-27,41.0,42.0,41.0,42.0,1.8782016038894653,5525
1998-01-28,42.5,42.75,42.25,42.25,1.889382004737854,1075
1998-01-29,42.25,43.0,42.25,42.75,1.9117425680160522,11100
1998-01-30,42.5,42.75,42.25,42.25,1.889382004737854,3975
1998-02-02,42.75,43.0,42.25,42.75,1.9117425680160522,2100
1998-02-03,42.5,44.0,42.5,43.5,1.94528067111969,15750
1998-02-04,42.5,44.0,42.5,44.0,1.9676406383514404,18475
1998-02-05,47.0,47.0,43.75,43.75,1.9564602375030518,9200
1998-02-06,43.5,43.5,42.75,42.75,1.9117425680160522,1500
1998-02-09,43.25,43.5,43.0,43.0,1.922922134399414,6075
1998-02-10,42.75,43.5,42.75,42.75,1.9117425680160522,19875
1998-02-11,43.0,43.0,42.75,43.0,1.922922134399414,1800
1998-02-12,43.0,43.0,42.0,42.5,1.9005622863769531,6250
1998-02-13,42.5,42.5,41.5,41.5,1.8558427095413208,4075
1998-02-17,41.0,42.5,41.0,42.0,1.8782016038894653,10300
1998-02-18,41.5,42.0,41.5,42.0,1.8782016038894653,3775
1998-02-19,41.75,43.0,41.75,42.5,1.9005622863769531,3375
1998-02-20,42.5,43.0,42.0,42.75,1.9117425680160522,2275
1998-02-23,42.75,43.0,42.75,42.75,1.9117425680160522,9375
1998-02-24,42.5,43.0,42.0,43.0,1.922922134399414,16250
1998-02-25,42.75,43.25,42.5,43.0,1.922922134399414,5600
1998-02-26,43.0,43.75,42.75,43.75,1.9564602375030518,3550
1998-02-27,43.25,43.75,42.75,43.5,1.94528067111969,5350
1998-03-02,43.0,45.0,43.0,44.75,2.0011799335479736,16825
1998-03-03,44.75,44.75,44.0,44.25,1.9788204431533813,85525
1998-03-04,44.0,44.25,44.0,44.0,1.9676406383514404,6175
1998-03-05,43.5,44.0,43.5,44.0,1.9676406383514404,6100
1998-03-06,44.25,45.75,44.25,45.0,2.012359142303467,33950
1998-03-09,45.0,45.75,45.0,45.75,2.045898675918579,11450
1998-03-10,45.75,45.75,45.5,45.5,2.0347185134887695,4375
1998-03-11,45.0,45.5,44.5,45.0,2.012359142303467,22725
1998-03-12,45.0,45.25,44.5,45.0,2.012359142303467,10575
1998-03-13,44.75,45.0,44.75,45.0,2.012359142303467,3775
1998-03-16,44.75,44.75,44.0,44.25,1.9788204431533813,8025
1998-03-17,44.75,45.0,44.5,44.5,1.99000084400177,2950
1998-03-18,44.75,44.75,44.0,44.0,1.9676406383514404,11425
1998-03-19,44.0,45.5,44.0,45.5,2.0347185134887695,29475
1998-03-20,45.25,45.5,45.0,45.5,2.0347185134887695,13025
1998-03-23,45.0,45.0,44.75,45.0,2.012359142303467,2975
1998-03-24,44.75,45.5,44.5,44.75,2.0011799335479736,2500
1998-03-25,44.5,46.0,44.25,46.0,2.0570785999298096,14800
1998-03-26,46.0,46.5,45.25,45.75,2.045898675918579,7375
1998-03-27,44.25,44.25,44.0,44.0,2.0242760181427,6550
1998-03-30,44.0,44.75,44.0,44.25,2.0357775688171387,21425
1998-03-31,44.25,44.75,44.25,44.75,2.0587806701660156,5475
1998-04-01,45.0,45.25,43.5,43.5,2.0012729167938232,10875
1998-04-02,43.5,44.25,43.5,44.25,2.0357775688171387,3425
1998-04-03,44.0,44.0,43.0,43.0,1.9782700538635254,12925
1998-04-06,42.75,43.5,42.0,42.5,1.955267071723938,25900
1998-04-07,42.5,42.75,42.25,42.25,1.9437650442123413,15250
1998-04-08,42.5,42.5,42.0,42.25,1.9437650442123413,8325
1998-04-09,42.75,43.25,42.75,43.0,1.9782700538635254,2750
1998-04-13,42.75,43.0,42.25,42.25,1.9437650442123413,1925
1998-04-14,42.25,42.5,42.0,42.0,1.9322631359100342,4525
1998-04-15,42.0,42.5,42.0,42.25,1.9437650442123413,3350
1998-04-16,42.5,42.75,42.0,42.75,1.9667693376541138,20700
1998-04-17,43.25,43.5,43.0,43.25,1.9897714853286743,10475
1998-04-20,43.25,43.5,43.0,43.0,1.9782700538635254,20325
1998-04-21,43.5,44.0,42.75,43.0,1.9782700538635254,11750
1998-04-22,43.5,43.5,42.5,43.5,2.0012729167938232,1350
1998-04-23,43.25,43.5,43.0,43.0,1.9782700538635254,7975
1998-04-24,42.75,43.5,42.75,43.5,2.0012729167938232,59775
1998-04-27,43.5,43.5,42.5,43.0,1.9782700538635254,2150
1998-04-28,43.0,44.0,42.75,43.5,2.0012729167938232,23025
1998-04-29,43.5,43.5,43.0,43.0,1.9782700538635254,17200
1998-04-30,43.0,43.75,43.0,43.5,2.0012729167938232,11100
