Date,Open,High,Low,Close,Adj Close,Volume
1994-10-14,37.75,37.875,37.0,37.25,29.372173309326172,1559900
1994-10-17,36.75,36.75,35.5,35.5,27.992267608642578,564100
1994-10-18,35.75,35.75,35.625,35.75,28.18938636779785,191200
1994-10-19,35.625,35.625,35.0,35.0,27.597999572753906,174100
1994-10-20,35.0,35.0,34.75,35.0,27.597999572753906,96000
1994-10-21,35.125,35.375,35.125,35.375,27.89370346069336,10800
1994-10-24,35.125,35.375,35.0,35.0,27.597999572753906,67100
1994-10-25,35.125,35.125,35.0,35.125,27.696565628051758,97400
1994-10-26,34.875,34.875,33.875,33.875,26.710926055908203,60300
1994-10-27,32.5,32.75,31.0,31.0,24.443941116333008,172600
1994-10-28,31.5,32.875,31.5,32.875,25.922414779663086,92200
1994-10-31,32.625,33.125,32.625,32.875,25.922414779663086,37000
1994-11-01,32.875,33.375,32.875,33.0,26.020978927612305,28900
1994-11-02,32.75,33.125,32.75,33.125,26.119544982910156,21300
1994-11-03,33.0,33.25,33.0,33.25,26.218107223510742,5300
1994-11-04,33.25,33.25,32.875,33.0,26.020978927612305,80500
1994-11-07,33.125,33.5,33.125,33.5,26.415233612060547,26500
1994-11-08,33.5,34.375,33.5,34.0,26.80948829650879,6900
1994-11-09,34.5,35.25,34.5,35.0,27.597999572753906,16300
1994-11-10,35.125,35.125,34.75,34.75,27.4008731842041,7900
1994-11-11,34.875,34.875,34.75,34.875,27.499439239501953,23000
1994-11-14,35.0,35.5,35.0,35.5,27.992267608642578,38100
1994-11-15,34.75,34.875,34.75,34.875,27.499439239501953,15200
1994-11-16,34.625,34.625,33.875,33.875,26.710926055908203,39700
1994-11-17,33.875,33.875,33.625,33.75,26.612369537353516,19700
1994-11-18,33.625,34.5,33.625,34.375,27.105182647705078,36000
1994-11-21,34.375,34.375,34.0,34.0,26.80948829650879,20000
1994-11-22,33.25,33.375,32.0,32.0,25.232463836669922,43500
1994-11-23,31.5,31.5,30.75,31.25,24.64107322692871,55800
1994-11-25,31.5,32.75,31.5,32.75,25.823848724365234,24400
1994-11-28,32.5,32.5,32.125,32.25,25.42959213256836,5300
1994-11-29,32.375,32.625,32.375,32.375,25.528156280517578,41500
1994-11-30,32.125,32.25,31.75,31.75,25.03533363342285,30100
1994-12-01,31.75,31.75,31.0,31.0,24.443941116333008,11100
1994-12-02,29.5,29.5,29.0,29.0,22.86692237854004,125300
1994-12-05,29.75,29.75,29.625,29.75,23.45830726623535,34500
1994-12-06,29.75,29.75,29.25,29.25,23.06405258178711,32800
1994-12-07,29.25,29.25,29.0,29.0,22.86692237854004,14000
1994-12-08,28.0,28.0,26.75,26.875,21.19132423400879,38100
1994-12-09,26.625,26.625,25.25,25.5,20.107120513916016,73100
1994-12-12,25.5,25.875,25.5,25.625,20.205684661865234,179300
1994-12-13,25.625,26.0,25.0,25.6875,20.25497055053711,68000
1994-12-14,26.25,26.875,26.25,26.75,21.09276008605957,174000
1994-12-15,27.25,28.5,27.25,28.25,22.275535583496094,65200
1994-12-16,28.625,29.0,28.625,29.0,22.86692237854004,29000
1994-12-19,28.75,28.75,28.375,28.5,22.472660064697266,53300
1994-12-20,28.375,28.625,28.25,28.375,22.374099731445312,13800
1994-12-21,28.875,29.5,28.875,29.5,23.261173248291016,30000
1994-12-22,29.5,30.5,29.5,30.5,24.049697875976562,76100
1994-12-23,30.5,30.625,30.375,30.375,23.98651695251465,35000
1994-12-27,30.375,30.375,30.25,30.375,23.98651695251465,27600
1994-12-28,30.125,30.125,29.0,29.625,23.39425277709961,10300
1994-12-29,29.625,29.625,29.375,29.375,23.19683837890625,2200
1994-12-30,29.375,29.5,29.0,29.25,23.098133087158203,13600
1995-01-03,29.25,29.25,28.5,28.5,22.50586700439453,5900
1995-01-04,28.0,28.0,26.5,26.75,21.123926162719727,48400
1995-01-05,26.0,26.0,25.625,25.75,20.33424949645996,80800
1995-01-06,26.5,27.0,26.5,26.5,20.92650604248047,41600
1995-01-09,26.0,26.125,25.875,26.0,20.531667709350586,25500
1995-01-10,25.75,26.0,25.75,26.0,20.531667709350586,24600
1995-01-11,26.25,26.5,26.25,26.375,20.827802658081055,37300
1995-01-12,26.375,26.5,26.25,26.25,20.72909164428711,40700
1995-01-13,25.75,26.0,25.75,25.875,20.432960510253906,68600
1995-01-16,25.5,25.5,25.0,25.125,19.840700149536133,97900
