Date,Open,High,Low,Close,Adj Close,Volume
1975-06-12,0.0,15.5,15.25,15.25,7.059391975402832,680800
1975-06-13,0.0,15.6875,15.4375,15.4375,7.146188735961914,434400
1975-06-16,0.0,15.5,15.25,15.25,7.059391975402832,195800
1975-06-17,0.0,15.1875,14.9375,14.9375,6.914732456207275,278800
1975-06-18,0.0,15.625,15.375,15.375,7.117258548736572,178200
1975-06-19,0.0,15.875,15.625,15.625,7.2329816818237305,190400
1975-06-20,0.0,15.9375,15.6875,15.6875,7.261915683746338,304800
1975-06-23,0.0,15.8125,15.5625,15.5625,7.2040534019470215,119400
1975-06-24,0.0,15.5,15.25,15.25,7.059391975402832,240000
1975-06-25,0.0,15.375,15.125,15.125,7.001531600952148,158400
1975-06-26,0.0,15.25,15.0,15.0,6.943665981292725,121200
1975-06-27,0.0,15.1875,14.9375,14.9375,6.914732456207275,88000
1975-06-30,0.0,15.5,15.25,15.25,7.059391975402832,123200
1975-07-01,0.0,15.3125,15.0625,15.0625,6.972596168518066,87200
1975-07-02,0.0,15.1875,14.9375,14.9375,6.914732456207275,139400
1975-07-03,0.0,15.8125,15.5625,15.5625,7.2040534019470215,158600
1975-07-07,0.0,15.4375,15.1875,15.1875,7.030459880828857,112400
1975-07-08,0.0,15.375,15.125,15.125,7.001531600952148,144000
1975-07-09,0.0,15.75,15.5,15.5,7.175119400024414,223000
1975-07-10,0.0,15.6875,15.4375,15.4375,7.146188735961914,227600
1975-07-11,0.0,16.25,16.0,16.0,7.406574249267578,293400
1975-07-14,0.0,17.0625,16.8125,16.8125,7.782688617706299,371800
1975-07-15,0.0,17.0,16.75,16.75,7.753760814666748,281600
1975-07-16,0.0,16.9375,16.6875,16.6875,7.724828243255615,364600
1975-07-17,0.0,17.1875,16.9375,16.9375,7.840555667877197,222000
1975-07-18,0.0,18.0,17.75,17.75,8.216670989990234,351000
1975-07-21,0.0,17.8125,17.5625,17.5625,8.12987995147705,204800
1975-07-22,0.0,17.1875,16.9375,16.9375,7.840555667877197,234000
1975-07-23,0.0,16.875,16.625,16.625,7.69589376449585,176800
1975-07-24,0.0,16.625,16.375,16.375,7.580169677734375,143400
1975-07-25,0.0,16.1875,15.9375,15.9375,7.377645015716553,102600
1975-07-28,0.0,16.125,15.875,15.875,7.348707675933838,96000
1975-07-29,0.0,15.625,15.375,15.375,7.117258548736572,160200
1975-07-30,0.0,15.8125,15.5625,15.5625,7.2040534019470215,118600
1975-07-31,0.0,15.5,15.25,15.25,7.059391975402832,88400
1975-08-01,0.0,15.1875,14.9375,14.9375,6.914732456207275,101600
1975-08-04,14.9375,14.9375,14.9375,14.9375,6.914732456207275,0
1975-08-05,0.0,15.6875,15.4375,15.4375,7.146188735961914,120200
1975-08-06,0.0,16.3125,16.0625,16.0625,7.435510158538818,109800
1975-08-07,0.0,15.625,15.375,15.375,7.117258548736572,127200
1975-08-08,0.0,15.0625,14.8125,14.8125,6.856866836547852,144600
1975-08-11,0.0,15.375,15.125,15.125,7.001531600952148,111400
1975-08-12,0.0,15.3125,15.0625,15.0625,6.972596168518066,81600
1975-08-13,0.0,14.5,14.25,14.25,6.596482753753662,112400
1975-08-14,0.0,14.5,14.25,14.25,6.596482753753662,104200
1975-08-15,0.0,14.25,14.0,14.0,6.480754375457764,73600
1975-08-18,0.0,13.625,13.375,13.375,6.191436767578125,78400
1975-08-19,0.0,13.625,13.375,13.375,6.191436767578125,69800
1975-08-20,0.0,14.0625,13.8125,13.8125,6.393955707550049,83600
1975-08-21,0.0,14.625,14.375,14.375,6.654346466064453,60400
1975-08-22,0.0,15.0,14.75,14.75,6.827939987182617,32200
1975-08-25,0.0,14.9375,14.6875,14.6875,6.799008369445801,48000
1975-08-26,0.0,14.4375,14.1875,14.1875,6.56755256652832,70200
1975-08-27,0.0,14.6875,14.4375,14.4375,6.6832780838012695,42400
1975-08-28,0.0,15.4375,15.1875,15.1875,7.030459880828857,83600
1975-08-29,0.0,15.625,15.375,15.375,7.117258548736572,105200
1975-09-02,0.0,14.9375,14.6875,14.6875,6.799008369445801,70800
1975-09-03,0.0,15.1875,14.9375,14.9375,6.914732456207275,69400
1975-09-04,0.0,15.3125,15.0625,15.0625,6.972596168518066,59600
1975-09-05,0.0,14.875,14.625,14.625,6.770074367523193,63600
1975-09-08,0.0,14.4375,14.1875,14.1875,6.56755256652832,50400
1975-09-09,0.0,14.0,13.75,13.75,6.365026473999023,134600
1975-09-10,0.0,13.625,13.375,13.375,6.191436767578125,146600
1975-09-11,0.0,13.5625,13.3125,13.3125,6.162504196166992,144800
1975-09-12,0.0,13.75,13.5,13.5,6.249297618865967,61000
1975-09-15,0.0,13.875,13.625,13.625,6.307162761688232,53000
1975-09-16,0.0,14.0,13.75,13.75,6.365026473999023,57000
1975-09-17,0.0,14.4375,14.1875,14.1875,6.56755256652832,76000
1975-09-18,0.0,15.4375,15.1875,15.1875,7.030459880828857,113000
1975-09-19,0.0,16.0,15.75,15.75,7.290853977203369,144400
1975-09-22,0.0,15.375,15.125,15.125,7.001531600952148,98400
1975-09-23,0.0,15.0,14.75,14.75,6.827939987182617,114800
1975-09-24,0.0,15.0,14.75,14.75,6.827939987182617,39000
1975-09-25,0.0,14.5625,14.3125,14.3125,6.6254167556762695,60000
1975-09-26,0.0,14.4375,14.1875,14.1875,6.56755256652832,58200
1975-09-29,0.0,14.3125,14.0625,14.0625,6.5096845626831055,50400
1975-09-30,0.0,14.0625,13.8125,13.8125,6.393955707550049,56000
1975-10-01,0.0,14.0625,13.8125,13.8125,6.393955707550049,73800
1975-10-02,0.0,14.375,14.125,14.125,6.538619518280029,140000
1975-10-03,0.0,14.75,14.5,14.5,6.712208271026611,71000
1975-10-06,0.0,14.75,14.5,14.5,6.712208271026611,30000
1975-10-07,0.0,14.5,14.25,14.25,6.596482753753662,58800
1975-10-08,0.0,14.8125,14.5625,14.5625,6.741140365600586,45600
1975-10-09,0.0,15.0625,14.8125,14.8125,6.856866836547852,71200
1975-10-10,0.0,15.1875,14.9375,14.9375,6.914732456207275,70200
1975-10-13,0.0,15.25,15.0,15.0,6.943665981292725,53800
1975-10-14,0.0,15.3125,15.0625,15.0625,6.972596168518066,76800
1975-10-15,0.0,15.5,15.25,15.25,7.059391975402832,67600
1975-10-16,0.0,15.3125,15.0625,15.0625,6.972596168518066,44600
1975-10-17,0.0,14.25,14.0,14.0,6.480754375457764,118800
1975-10-20,0.0,14.4375,14.1875,14.1875,6.56755256652832,47600
1975-10-21,0.0,13.875,13.625,13.625,6.307162761688232,100800
1975-10-22,0.0,14.0,13.75,13.75,6.365026473999023,106400
1975-10-23,0.0,14.625,14.375,14.375,6.654346466064453,148200
1975-10-24,0.0,14.25,14.0,14.0,6.480754375457764,74200
1975-10-27,0.0,14.25,14.0,14.0,6.480754375457764,27800
1975-10-28,0.0,14.5,14.25,14.25,6.596482753753662,59000
1975-10-29,0.0,13.875,13.625,13.625,6.307162761688232,57000
1975-10-30,0.0,13.5625,13.3125,13.3125,6.162504196166992,66200
1975-10-31,0.0,13.625,13.375,13.375,6.191436767578125,40400
