Date,Open,High,Low,Close,Adj Close,Volume
1996-11-18,6.90625,7.046875,6.90625,6.90625,2.5366597175598145,1300
1996-11-19,6.84375,7.0,6.84375,6.84375,2.5137038230895996,1800
1996-11-20,6.84375,6.84375,6.84375,6.84375,2.5137038230895996,0
1996-11-21,6.84375,6.84375,6.84375,6.84375,2.5137038230895996,0
1996-11-22,7.0,7.0,7.0,7.0,2.5710947513580322,200
1996-11-25,7.25,7.25,7.09375,7.25,2.66291880607605,1800
1996-11-26,7.15625,7.296875,7.15625,7.15625,2.6284847259521484,6300
1996-11-27,7.046875,7.046875,7.046875,7.046875,2.588311195373535,1600
1996-11-29,7.0,7.0,7.0,7.0,2.5710947513580322,100
1996-12-02,7.046875,7.046875,7.046875,7.046875,2.588311195373535,2200
1996-12-03,6.953125,6.953125,6.90625,6.953125,2.5538763999938965,3000
1996-12-04,6.953125,6.953125,6.953125,6.953125,2.5538763999938965,0
1996-12-05,6.90625,6.90625,6.90625,6.90625,2.5366597175598145,200
1996-12-06,6.796875,6.953125,6.796875,6.796875,2.4964873790740967,4000
1996-12-09,6.84375,7.0,6.84375,6.84375,2.5137038230895996,1800
1996-12-10,6.90625,7.046875,6.90625,6.90625,2.5366597175598145,300
1996-12-11,6.65625,6.703125,6.65625,6.65625,2.4448349475860596,300
1996-12-12,6.5,6.65625,6.5,6.5,2.387444019317627,7600
1996-12-13,6.5,6.5,6.5,6.5,2.387444019317627,1000
1996-12-16,6.65625,6.65625,6.65625,6.65625,2.4448349475860596,500
1996-12-17,6.65625,6.65625,6.65625,6.65625,2.4448349475860596,0
1996-12-18,6.84375,6.84375,6.703125,6.84375,2.5137038230895996,2900
1996-12-19,6.75,6.75,6.75,6.75,2.479268789291382,1000
1996-12-20,7.09375,7.09375,7.0,7.09375,2.6055285930633545,3500
1996-12-23,7.046875,7.046875,7.0,7.046875,2.588311195373535,4000
1996-12-24,7.046875,7.046875,7.046875,7.046875,2.588311195373535,0
1996-12-26,7.203125,7.203125,7.046875,7.203125,2.645702600479126,500
1996-12-27,7.09375,7.25,7.09375,7.09375,2.6055285930633545,2600
1996-12-30,7.09375,7.09375,7.09375,7.09375,2.6055285930633545,400
1996-12-31,7.203125,7.203125,7.203125,7.203125,2.645702600479126,400
1997-01-02,7.296875,7.296875,7.15625,7.296875,2.6801366806030273,5600
1997-01-03,7.15625,7.15625,7.15625,7.15625,2.6284847259521484,200
1997-01-06,7.34375,7.34375,7.34375,7.34375,2.6973531246185303,200
1997-01-07,7.546875,7.546875,7.453125,7.546875,2.7719616889953613,2000
1997-01-08,7.40625,7.40625,7.40625,7.40625,2.7203094959259033,3000
1997-01-09,7.59375,7.59375,7.59375,7.59375,2.789177417755127,500
1997-01-10,7.65625,7.65625,7.59375,7.65625,2.812134027481079,1400
1997-01-13,7.5,7.5,7.5,7.5,2.7547428607940674,300
1997-01-14,7.296875,7.453125,7.296875,7.296875,2.6801366806030273,7200
1997-01-15,7.34375,7.34375,7.34375,7.34375,2.6973531246185303,100
1997-01-16,7.34375,7.34375,7.34375,7.34375,2.6973531246185303,0
1997-01-17,7.203125,7.25,7.15625,7.203125,2.645702600479126,6000
1997-01-20,7.25,7.25,7.15625,7.25,2.66291880607605,800
1997-01-21,7.296875,7.296875,7.296875,7.296875,2.6801366806030273,1000
1997-01-22,7.25,7.25,7.25,7.25,2.66291880607605,1000
1997-01-23,7.203125,7.203125,7.203125,7.203125,2.645702600479126,200
1997-01-24,7.203125,7.203125,7.09375,7.203125,2.645702600479126,2500
1997-01-27,7.15625,7.15625,7.15625,7.15625,2.6284847259521484,8000
1997-01-28,6.90625,6.90625,6.90625,6.90625,2.5366597175598145,100
1997-01-29,6.90625,7.125,6.90625,6.90625,2.5366597175598145,1100
1997-01-30,6.90625,6.90625,6.90625,6.90625,2.5366597175598145,0
1997-01-31,6.90625,6.90625,6.90625,6.90625,2.5366597175598145,0
1997-02-03,7.15625,7.15625,7.15625,7.15625,2.6284847259521484,4900
1997-02-04,7.046875,7.15625,7.03125,7.046875,2.588311195373535,3600
1997-02-05,7.25,7.25,7.25,7.25,2.66291880607605,800
1997-02-06,7.25,7.25,7.25,7.25,2.66291880607605,0
1997-02-07,7.25,7.25,7.25,7.25,2.66291880607605,0
1997-02-10,7.0,7.046875,7.0,7.0,2.5710947513580322,800
1997-02-11,7.0,7.0,7.0,7.0,2.5710947513580322,500
1997-02-12,7.140625,7.140625,7.0,7.140625,2.6227455139160156,3300
1997-02-13,7.140625,7.140625,7.0,7.140625,2.6227455139160156,4400
1997-02-14,6.9375,6.9375,6.9375,6.9375,2.5481386184692383,1800
1997-02-18,7.25,7.25,7.109375,7.25,2.66291880607605,2400
1997-02-19,7.0,7.0,7.0,7.0,2.5710947513580322,1000
1997-02-20,7.0,7.0,7.0,7.0,2.5710947513580322,1000
1997-02-21,7.109375,7.109375,7.0,7.109375,2.611267328262329,4000
1997-02-24,6.9375,6.9375,6.875,6.9375,2.5481386184692383,1000
1997-02-25,6.75,6.875,6.75,6.75,2.479268789291382,2900
1997-02-26,6.9375,6.9375,6.9375,6.9375,2.5481386184692383,2000
1997-02-27,6.796875,6.9375,6.796875,6.796875,2.4964873790740967,1900
